"pfad","A","C","D_brackets","D_tilde","E","G_fm_link","H_self_link","I_quote","severity","mtime","size"
"_cleanup-phase-3-report.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-25 19:50:50","8190"
".claude\worktrees\elastic-payne-f690b2\01-projekte\bachelor-thesis\forschungsdesign.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:43","2634"
".claude\worktrees\elastic-payne-f690b2\01-projekte\bachelor-thesis\logs\2026-03-17-bachelorarbeit-dokumentation.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:43","686"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\tech-stack-conventions.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","8154"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\cora-ai.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:43","4279"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\diskrepanzen.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:43","8883"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\meeting-2026-04-18-cora-ausrichtung.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:43","10291"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\food-scanner\frontend-integration.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:43","7085"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\food-scanner\prompt-log.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","2915"
".claude\worktrees\elastic-payne-f690b2\01-projekte\hays\lizenzmanagement-konzept.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","8129"
".claude\worktrees\elastic-payne-f690b2\01-projekte\hays\logs\2026-03-30-hays-reporting-cowork-automatisierung.md","0","0","0","0","1","0","0","0","SEVERE","2026-04-19 12:47:44","552"
".claude\worktrees\elastic-payne-f690b2\01-projekte\hdwm\semester-5\international-sales-turnitin-bericht.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-19 12:47:44","3202"
".claude\worktrees\elastic-payne-f690b2\01-projekte\hdwm\semester-5\meeting-kaufmann-2026-04-21.md","0","0","0","0","0","0","0","1","SEVERE","2026-04-19 12:47:44","9460"
