"pfad","A_front_hash","B_front_flat","C_wikilink","D_escapes","E_table_collapse","F_lf_only","G_fm_autolink","H_body_autolink","I_quote_collapse","file_size_bytes","last_modified"
"CLAUDE.md","0","0","0","0","1","1","0","0","0","5106","2026-04-18 15:29:58"
"START-HERE.md","0","0","0","0","1","1","0","0","0","5362","2026-04-16 21:53:02"
"_cleanup-phase-1-report.md","0","0","0","0","1","1","0","0","0","8563","2026-04-24 21:19:31"
"_cleanup-phase-2-report.md","0","0","0","0","1","1","0","0","0","3345","2026-04-25 15:02:54"
"_cleanup-phase-3-report.md","0","0","0","0","1","1","0","0","1","8190","2026-04-25 19:50:50"
".claude\worktrees\elastic-payne-f690b2\CLAUDE.md","0","0","0","0","1","0","0","0","0","5233","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\START-HERE.md","0","0","0","0","1","0","0","0","0","5557","2026-04-19 12:47:44"
".claude\worktrees\elastic-payne-f690b2\00-eingang\unverarbeitet\2026-04-18-1608-seminararbeit-meeting-kaufmann.md","0","0","0","0","1","0","0","0","0","383","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\00-eingang\unverarbeitet\briefing-miraculix-mcp-server.md","0","0","0","0","1","0","0","0","0","7323","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\bachelor-thesis\bachelor-thesis.md","0","0","0","0","1","0","0","0","0","3645","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\bachelor-thesis\forschungsdesign.md","0","0","0","0","1","0","0","0","0","2634","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\bachelor-thesis\interview-protokolle.md","0","0","0","0","1","0","0","0","0","980","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\bachelor-thesis\interviewleitfaden.md","0","0","0","0","1","0","0","0","0","3173","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\bachelor-thesis\mitarbeiteranfragen.md","0","0","0","0","1","0","0","0","0","3536","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\bachelor-thesis\logs\2026-03-17-bachelorarbeit-dokumentation.md","0","0","0","0","1","0","0","0","0","686","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\bachelor-thesis\logs\2026-04-17-call-christine-thesis.md","0","0","0","0","1","0","0","0","0","1910","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\coralate.md","0","0","0","0","1","0","0","0","0","3818","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\design-system.md","0","0","0","0","1","0","0","0","0","10463","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\tech-stack-conventions.md","0","0","0","0","1","0","0","0","0","8154","2026-04-19 12:47:44"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\architektur.md","0","0","0","0","1","0","0","0","0","6552","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\cora-ai.md","0","0","0","0","1","0","0","0","0","4279","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\diskrepanzen.md","0","0","0","0","1","0","0","0","0","8883","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\knowledge-chunks-guide.md","0","0","0","0","1","0","0","0","0","6947","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\meeting-2026-04-18-cora-ausrichtung.md","0","0","0","0","1","0","0","0","0","10291","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\scope-jann-proposal.md","0","0","0","0","1","0","0","0","0","5872","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\knowledge-chunks\symmetry_balance_prevention.md","0","0","0","0","1","0","0","0","0","1399","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\knowledge-chunks\_template.md","0","0","0","0","1","0","0","0","0","705","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\cora-ai\logs\2026-04-07-cora-backend-build.md","0","0","0","0","1","0","0","0","0","1315","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\food-scanner\architektur-v8.md","0","0","0","0","1","0","0","0","0","18531","2026-04-19 12:47:43"
".claude\worktrees\elastic-payne-f690b2\01-projekte\coralate\food-scanner\food-scanner.md","0","0","0","0","1","0","0","0","0","2838","2026-04-19 12:47:43"
