"pfad","pattern_a","pattern_b","pattern_c_wikilink","pattern_d_escapes","pattern_e_tabellen","pattern_f_eol_lf","file_size_bytes","last_modified"
"CLAUDE.md","0","0","0","0","0","1","5106","2026-04-18 15:29:58"
"START-HERE.md","0","0","0","0","0","1","5362","2026-04-16 21:53:02"
"_cleanup-phase-1-report.md","0","0","0","0","0","1","8563","2026-04-24 21:19:31"
"_cleanup-phase-2-report.md","0","0","0","0","0","1","3345","2026-04-25 15:02:54"
"_cleanup-phase-3-report.md","0","0","0","0","0","1","8190","2026-04-25 19:50:50"
"00-eingang\unverarbeitet\2026-04-25-1735-anastasia-geburtstagsgeschenk.md","0","0","0","0","0","1","212","2026-04-25 17:37:28"
"01-projekte\bachelor-thesis\bachelor-thesis-assistant-framework.md","0","0","0","0","0","1","712","2026-04-24 21:14:02"
"01-projekte\bachelor-thesis\bachelor-thesis.md","0","0","0","0","0","1","7387","2026-04-24 21:14:02"
"01-projekte\bachelor-thesis\bachelorarbeit-research-vault.md","0","0","0","0","0","1","62390","2026-04-24 21:15:06"
"01-projekte\bachelor-thesis\briefing-sandbrink-2026-04-23.md","0","0","0","0","0","1","1003","2026-04-24 21:14:02"
"01-projekte\bachelor-thesis\claude-support-bachelorarbeit.md","0","0","0","0","0","1","38471","2026-04-24 21:15:06"
"01-projekte\bachelor-thesis\codebook-klartext.md","0","0","0","0","0","1","32109","2026-04-24 21:14:02"
"01-projekte\bachelor-thesis\forschungsdesign.md","0","0","0","0","0","1","2562","2026-04-16 22:58:08"
"01-projekte\bachelor-thesis\gliederung-klartext.md","0","0","0","0","0","1","26254","2026-04-24 21:14:02"
"01-projekte\bachelor-thesis\interview-protokolle.md","0","0","0","0","0","1","946","2026-04-16 22:58:27"
"01-projekte\bachelor-thesis\interviewleitfaden.md","0","0","0","0","0","1","3112","2026-04-24 14:32:44"
"01-projekte\bachelor-thesis\mayring-vault-konzeption.md","0","0","0","0","0","1","2745","2026-04-24 21:14:02"
"01-projekte\bachelor-thesis\mayring-vault-sondier-prompt.md","0","0","0","0","0","1","6785","2026-04-24 21:14:02"
"01-projekte\bachelor-thesis\mitarbeiteranfragen.md","0","0","0","0","0","1","5598","2026-04-24 14:33:32"
"01-projekte\bachelor-thesis\scope-klartext.md","0","0","0","0","0","1","24665","2026-04-24 21:14:02"
"01-projekte\bachelor-thesis\logs\2026-03-17-bachelorarbeit-dokumentation.md","0","0","0","0","0","1","663","2026-04-16 19:26:42"
"01-projekte\bachelor-thesis\logs\2026-04-17-call-christine-thesis.md","0","0","0","0","0","1","1851","2026-04-24 20:55:03"
"01-projekte\bachelor-thesis\logs\2026-04-21-maddox-cafe-session.md","0","0","0","0","0","1","2098","2026-04-24 21:14:02"
"01-projekte\bachelor-thesis\logs\2026-04-23-sandbrink-betreuung.md","0","0","0","0","0","1","3615","2026-04-24 21:14:02"
"01-projekte\coralate\coralate.md","0","0","0","0","0","1","4199","2026-04-20 13:20:57"
"01-projekte\coralate\design-system.md","0","0","0","0","0","1","10197","2026-04-16 23:17:00"
"01-projekte\coralate\tech-stack-conventions.md","0","0","0","0","0","1","7929","2026-04-16 23:17:58"
"01-projekte\coralate\cora-ai\cora-ai-architektur.md","0","0","0","0","0","1","6436","2026-04-18 23:28:37"
"01-projekte\coralate\cora-ai\diskrepanzen.md","0","0","0","0","0","1","8722","2026-04-18 23:28:43"
"01-projekte\coralate\cora-ai\scope-jann-proposal.md","0","0","0","0","0","1","5693","2026-04-25 19:48:24"
"01-projekte\coralate\cora-ai\knowledge-chunks\_template.md","0","0","0","0","0","1","680","2026-04-18 23:48:42"
"01-projekte\coralate\food-scanner\architektur-v8.md","0","0","0","0","0","1","26265","2026-04-19 20:03:31"
"01-projekte\coralate\food-scanner\borrow-script-v2.md","0","0","0","0","0","1","7154","2026-04-24 21:07:44"
"01-projekte\coralate\food-scanner\food-scanner.md","0","0","0","0","0","1","4180","2026-04-19 19:08:36"
"01-projekte\coralate\food-scanner\frontend-integration.md","0","0","0","0","0","1","6873","2026-04-16 23:14:14"
"01-projekte\coralate\food-scanner\nutrition-db-stand.md","0","0","0","0","0","1","4427","2026-04-24 21:06:32"
"01-projekte\coralate\food-scanner\prompt-log.md","0","0","0","0","0","1","15886","2026-04-24 21:07:40"
"01-projekte\coralate\food-scanner\roadmap.md","0","0","0","0","0","1","5307","2026-04-19 13:38:31"
"01-projekte\coralate\food-scanner\logs\2026-04-11-go-build-phase-safety-rails.md","0","0","0","0","0","1","1365","2026-04-24 21:14:02"
"01-projekte\coralate\food-scanner\logs\2026-04-11-phase1-uploads-infoods-achse.md","0","0","0","0","0","1","1378","2026-04-24 21:14:02"
"01-projekte\coralate\food-scanner\logs\2026-04-11-stack-festgezogen-v51-research.md","0","0","0","0","0","1","1563","2026-04-16 19:18:19"
"01-projekte\coralate\food-scanner\logs\2026-04-11-v51-reports-hybrid-3tier-bestaetigt.md","0","0","0","0","0","1","1542","2026-04-24 21:14:02"
"01-projekte\coralate\food-scanner\logs\2026-04-12-borrowing-live-3pass-strategie.md","0","0","0","0","0","1","1191","2026-04-24 21:14:02"
"01-projekte\coralate\food-scanner\logs\2026-04-12-edge-function-v7-produktiv.md","0","0","0","0","0","1","1906","2026-04-24 21:14:02"
"01-projekte\coralate\food-scanner\logs\2026-04-12-prompt-v1-v7-iteration.md","0","0","0","0","0","1","1080","2026-04-16 21:53:02"
"01-projekte\coralate\food-scanner\logs\2026-04-12-stand-snapshot-borrowing-durch.md","0","0","0","0","0","1","1030","2026-04-24 21:14:02"
